Unnamed: 0.1,Unnamed: 0,disease,workout
0,0,Anemia,Light walking
1,1,Anemia,Gentle yoga
2,2,Anemia,Breathing exercises
3,3,Anemia,Low-intensity aerobics
4,4,Anemia,Short rest periods
5,5,Anemia,Avoid strenuous exercise
6,6,Anemia,Supervised swimming
7,7,Anemia,Stretching routines
8,8,Anemia,Meditation
9,9,Anemia,Tai chi
10,10,Sinusitis,Steam inhalation
11,11,Sinusitis,Light walking
12,12,Sinusitis,Yoga breathing
13,13,Sinusitis,Avoid outdoor exercise on high-pollen days
14,14,Sinusitis,Gentle neck stretches
15,15,Sinusitis,Facial massage
16,16,Sinusitis,Hydration focus
17,17,Sinusitis,Avoid cold environments
18,18,Sinusitis,Light indoor cycling
19,19,Sinusitis,Nasal drainage exercises
20,20,Kidney Stones,Light walking to assist stone passage
21,21,Kidney Stones,Stay hydrated during all exercise
22,22,Kidney Stones,Avoid heavy lifting
23,23,Kidney Stones,Low-impact yoga
24,24,Kidney Stones,Swimming
25,25,Kidney Stones,Gentle cycling
26,26,Kidney Stones,Deep breathing
27,27,Kidney Stones,Avoid dehydrating activities
28,28,Kidney Stones,Rest during acute pain episodes
29,29,Kidney Stones,Regular hydration checks
30,30,Eczema,Swimming (rinse skin after)
31,31,Eczema,Light yoga
32,32,Eczema,Avoid heavy sweating
33,33,Eczema,Low-impact walking
34,34,Eczema,Tai chi
35,35,Eczema,Gentle stretching
36,36,Eczema,Cool down immediately after exercise
37,37,Eczema,Avoid wool clothing during workouts
38,38,Eczema,Mindfulness movement
39,39,Eczema,Indoor cycling
40,40,Gout,Rest during flare-ups
41,41,Gout,Low-impact swimming
42,42,Gout,Gentle range-of-motion exercises
43,43,Gout,Avoid high-impact activities
44,44,Gout,Stretching
45,45,Gout,Walking on flat surfaces
46,46,Gout,Water aerobics
47,47,Gout,Light resistance training
48,48,Gout,Yoga
49,49,Gout,Avoid activities that stress affected joints
50,50,Depression,Daily walks
51,51,Depression,Aerobic exercise 30 min
52,52,Depression,Yoga
53,53,Depression,Group fitness classes
54,54,Depression,Swimming
55,55,Depression,Cycling
56,56,Depression,Dancing
57,57,Depression,Team sports
58,58,Depression,Mindfulness walking
59,59,Depression,Stretching routines
60,60,Sleep Apnea,Morning aerobic exercise
61,61,Sleep Apnea,Yoga breathing techniques
62,62,Sleep Apnea,Throat and tongue exercises
63,63,Sleep Apnea,Swimming
64,64,Sleep Apnea,Walking
65,65,Sleep Apnea,Cycling
66,66,Sleep Apnea,Avoid exercise within 2 hours of sleep
67,67,Sleep Apnea,Light resistance training
68,68,Sleep Apnea,Stretching before bed
69,69,Sleep Apnea,Mindful breathing
70,70,Celiac Disease,Light aerobic exercise
71,71,Celiac Disease,Yoga
72,72,Celiac Disease,Walking
73,73,Celiac Disease,Swimming
74,74,Celiac Disease,Cycling
75,75,Celiac Disease,Strength training
76,76,Celiac Disease,Pilates
77,77,Celiac Disease,Low-impact aerobics
78,78,Celiac Disease,Stretching
79,79,Celiac Disease,Mindful movement
80,80,Panic Disorder,Diaphragmatic breathing
81,81,Panic Disorder,Yoga
82,82,Panic Disorder,Mindfulness meditation
83,83,Panic Disorder,Walking
84,84,Panic Disorder,Light swimming
85,85,Panic Disorder,Tai chi
86,86,Panic Disorder,Progressive muscle relaxation
87,87,Panic Disorder,Gentle cycling
88,88,Panic Disorder,Stretching
89,89,Panic Disorder,Grounding exercises
90,90,Thyroid Nodules,Light aerobic walking
91,91,Thyroid Nodules,Yoga
92,92,Thyroid Nodules,Swimming
93,93,Thyroid Nodules,Low-impact cycling
94,94,Thyroid Nodules,Stretching
95,95,Thyroid Nodules,Resistance training (light)
96,96,Thyroid Nodules,Avoid overexertion
97,97,Thyroid Nodules,Breathing exercises
98,98,Thyroid Nodules,Tai chi
99,99,Thyroid Nodules,Mindful movement
